Condition,ReadCode,CleansedReadCode,Term
Addison's disease,71220,7122000,Bilateral adrenalectomy and transposition of adrenal tissue
Addison's disease,71221,7122100,Bilateral adrenalectomy
Addison's disease,^ESCTAD474131,,Tuberculosis of adrenal glands - Addison's disease
Addison's disease,A176,A176.00,Tuberculosis of adrenal glands - Addison's disease
Addison's disease,^ESCTTU474132,,Tuberculosis of adrenal glands - Addison's disease
Addison's disease,^ESCTTU474129,,Tuberculosis of adrenal glands - Addison's disease
Addison's disease,C154z,C154z00,Corticoadrenal insufficiency
Addison's disease,C154z-2,C154z12,Corticoadrenal insufficiency
Addison's disease,^ESCTHY645770,,Corticoadrenal insufficiency
Addison's disease,^ESCTAD645769,,Corticoadrenal insufficiency
Addison's disease,^ESCTAD645768,,Corticoadrenal insufficiency
Addison's disease,C154,C154.00,Corticoadrenal insufficiency
Addison's disease,C1541,C154100,Addison's disease
Addison's disease,^ESCTAD625037,,Addison's disease
Addison's disease,C154z,C154z00,Corticoadrenal insufficiency NOS
Addison's disease,C154z-2,C154z12,Corticoadrenal insufficiency NOS
Addison's disease,^ESCTHY645770,,Corticoadrenal insufficiency NOS
Addison's disease,^ESCTAD645769,,Corticoadrenal insufficiency NOS
Addison's disease,^ESCTAD645768,,Corticoadrenal insufficiency NOS
Addison's disease,C154,C154.00,Corticoadrenal insufficiency NOS
Addison's disease,C154z-1,C154z11,Adrenal hypofunction
Addison's disease,C155,C155.00,Adrenal hypofunction
Addison's disease,C155z,C155z00,Adrenal hypofunction
Addison's disease,^ESCTHY511239,,Adrenal hypofunction
Addison's disease,C154z,C154z00,Adrenal insufficiency
Addison's disease,C154z-2,C154z12,Adrenal insufficiency
Addison's disease,^ESCTHY645770,,Adrenal insufficiency
Addison's disease,^ESCTAD645769,,Adrenal insufficiency
Addison's disease,^ESCTAD645768,,Adrenal insufficiency
Addison's disease,C154,C154.00,Adrenal insufficiency
Addison's disease,C154z-1,C154z11,Hypoadrenalism
Addison's disease,C155,C155.00,Hypoadrenalism
Addison's disease,C155z,C155z00,Hypoadrenalism
Addison's disease,^ESCTHY511239,,Hypoadrenalism
Addison's disease,C154z-1,C154z11,Other adrenal hypofunction NOS
Addison's disease,C155,C155.00,Other adrenal hypofunction NOS
Addison's disease,C155z,C155z00,Other adrenal hypofunction NOS
Addison's disease,^ESCTHY511239,,Other adrenal hypofunction NOS
Addison's disease,F3950,F395000,Myopathy due to Addison's disease
Addison's disease,^ESCTMY305155,,Myopathy due to Addison's disease
Addison's disease,^ESCTMY305156,,Myopathy due to Addison's disease
