Condition,ReadCode,CleansedReadCode,Term
Rhinitis and Sinusitis,H01..11,H01..11,Sinusitis
Rhinitis and Sinusitis,H13..00,H13..00,Chronic sinusitis
Rhinitis and Sinusitis,H13..11,H13..11,Chronic rhinosinusitis
Rhinitis and Sinusitis,H130.00,H130.00,Chronic maxillary sinusitis
Rhinitis and Sinusitis,H130.11,H130.11,Antritis - chronic
Rhinitis and Sinusitis,H130.12,H130.12,Maxillary sinusitis
Rhinitis and Sinusitis,H131.00,H131.00,Chronic frontal sinusitis
Rhinitis and Sinusitis,H131.11,H131.11,Frontal sinusitis
Rhinitis and Sinusitis,H132.00,H132.00,Chronic ethmoidal sinusitis
Rhinitis and Sinusitis,H133.00,H133.00,Chronic sphenoidal sinusitis
Rhinitis and Sinusitis,H135.00,H135.00,Recurrent sinusitis
Rhinitis and Sinusitis,H13y.00,H13y.00,Other chronic sinusitis
Rhinitis and Sinusitis,H13y000,H13y000,Chronic pansinusitis
Rhinitis and Sinusitis,H13y100,H13y100,Pansinusitis
Rhinitis and Sinusitis,H13yz00,H13yz00,Other chronic sinusitis NOS
Rhinitis and Sinusitis,H13z.00,H13z.00,Chronic sinusitis NOS
Rhinitis and Sinusitis,H17..12,H17..12,Allergic rhinosinusitis
Rhinitis and Sinusitis,Hyu2200,Hyu2200,[X]Other chronic sinusitis
Rhinitis and Sinusitis,H120.00,H120.00,Chronic rhinitis
Rhinitis and Sinusitis,H120000,H120000,Chronic simple rhinitis
Rhinitis and Sinusitis,H120100,H120100,Chronic catarrhal rhinitis
Rhinitis and Sinusitis,H120200,H120200,Chronic hypertrophic rhinitis
Rhinitis and Sinusitis,H120300,H120300,Chronic atrophic rhinitis
Rhinitis and Sinusitis,H120400,H120400,Chronic infective rhinitis
Rhinitis and Sinusitis,H120500,H120500,Chronic ulcerative rhinitis
Rhinitis and Sinusitis,H120600,H120600,Chronic membranous rhinitis
Rhinitis and Sinusitis,H120700,H120700,Chronic fibrinous rhinitis
Rhinitis and Sinusitis,H120z00,H120z00,Chronic rhinitis NOS
Rhinitis and Sinusitis,H17..00,H17..00,Allergic rhinitis
Rhinitis and Sinusitis,H17..11,H17..11,Perennial rhinitis
Rhinitis and Sinusitis,H170.00,H170.00,Allergic rhinitis due to pollens
Rhinitis and Sinusitis,H170.11,H170.11,Hay fever - pollens
Rhinitis and Sinusitis,H170.12,H170.12,Pollinosis
Rhinitis and Sinusitis,H171.00,H171.00,Allergic rhinitis due to other allergens
Rhinitis and Sinusitis,H171.11,H171.11,Cat allergy
Rhinitis and Sinusitis,H171.12,H171.12,Dander (animal) allergy
Rhinitis and Sinusitis,H171.13,H171.13,Feather allergy
Rhinitis and Sinusitis,H171.14,H171.14,Hay fever - other allergen
Rhinitis and Sinusitis,H171.15,H171.15,House dust allergy
Rhinitis and Sinusitis,H171.16,H171.16,House dust mite allergy
Rhinitis and Sinusitis,H171000,H171000,Allergy to animal
Rhinitis and Sinusitis,H171100,H171100,Dog allergy
Rhinitis and Sinusitis,H172.00,H172.00,Allergic rhinitis due to unspecified allergen
Rhinitis and Sinusitis,H172.11,H172.11,Hay fever - unspecified allergen
Rhinitis and Sinusitis,H17z.00,H17z.00,Allergic rhinitis NOS
Rhinitis and Sinusitis,H18..00,H18..00,Vasomotor rhinitis
Rhinitis and Sinusitis,H330.13,H330.13,Hay fever with asthma
Rhinitis and Sinusitis,H330011,H330011,Hay fever with asthma
Rhinitis and Sinusitis,Hyu2000,Hyu2000,[X]Other seasonal allergic rhinitis
Rhinitis and Sinusitis,Hyu2100,Hyu2100,[X]Other allergic rhinitis
