Condition,ReadCode,CleansedReadCode,Term
Multiple sclerosis (and optic neuritis),9kG..00,9kG..00,Spec serv for pat with multiple sclerosis - enh serv admin
Multiple sclerosis (and optic neuritis),9mD0.00,9mD0.00,Multiple sclerosis monitoring first letter
Multiple sclerosis (and optic neuritis),9mD1.00,9mD1.00,Multiple sclerosis monitoring second letter
Multiple sclerosis (and optic neuritis),F20..00,F20..00,Multiple sclerosis
Multiple sclerosis (and optic neuritis),F20..11,F20..11,Disseminated sclerosis
Multiple sclerosis (and optic neuritis),F200.00,F200.00,Multiple sclerosis of the brain stem
Multiple sclerosis (and optic neuritis),F201.00,F201.00,Multiple sclerosis of the spinal cord
Multiple sclerosis (and optic neuritis),F202.00,F202.00,Generalised multiple sclerosis
Multiple sclerosis (and optic neuritis),F203.00,F203.00,Exacerbation of multiple sclerosis
Multiple sclerosis (and optic neuritis),F204.00,F204.00,Benign multiple sclerosis
Multiple sclerosis (and optic neuritis),F206.00,F206.00,Primary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),F207.00,F207.00,Relapsing and remitting multiple sclerosis
Multiple sclerosis (and optic neuritis),F208.00,F208.00,Secondary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),F20z.00,F20z.00,Multiple sclerosis NOS
