Condition,ReadCode,CleansedReadCode,Term
Diseases of the liver,7L1f.00,,Compensation for liver failure
Diseases of the liver,7L1fz00,,Compensation for liver failure NOS
Diseases of the liver,A700.00,,Viral hepatitis A with coma
Diseases of the liver,A702.00,,Viral hepatitis B with coma
Diseases of the liver,A704.00,,Other specified viral hepatitis with coma
Diseases of the liver,A704000,,Viral hepatitis C with coma
Diseases of the liver,A704z00,,Other specified viral hepatitis with hepatic coma NOS
Diseases of the liver,J613000,,Alcoholic hepatic failure
Diseases of the liver,J622.00,,Hepatic coma
Diseases of the liver,J622.11,,Encephalopathy - hepatic
Diseases of the liver,J625.00,,[X] Hepatic failure
Diseases of the liver,J625.11,,[X] Liver failure
Diseases of the liver,J62y.11,,Hepatic failure NOS
Diseases of the liver,J62y.12,,Liver failure NOS
Diseases of the liver,J62y.13,,Hepatic failure
Diseases of the liver,J634.00,,Hepatic infarction
Diseases of the liver,J635100,,Toxic liver disease with hepatic necrosis
Diseases of the liver,J636.00,,Central haemorrhagic necrosis of liver
Diseases of the liver,SP14200,,Hepatic failure as a complication of care
Diseases of the liver,SP14211,,Liver failure as a complication of care
Diseases of the liver,,,Alcoholic liver damage NOS
Diseases of the liver,,,alcoholic liver damage unspecified
Diseases of the liver,,,laennec's cirrhosis
Diseases of the liver,G852300,,Oesophageal varices in alcoholic cirrhosis of the liver
Diseases of the liver,J610.00,,Alcoholic fatty liver
Diseases of the liver,J612.00,,Alcoholic cirrhosis of liver
Diseases of the liver,J612.12,,Laennec's cirrhosis
Diseases of the liver,J612000,,Alcoholic fibrosis and sclerosis of liver
Diseases of the liver,J613.00,,Alcoholic liver damage unspecified
Diseases of the liver,J617.00,,Alcoholic hepatitis
Diseases of the liver,J617000,,Chronic alcoholic hepatitis
Diseases of the liver,,,fatty liver
Diseases of the liver,J61y700,,Steatosis of liver
Diseases of the liver,J61y800,,Nonalcoholic steatohepatitis
Diseases of the liver,J61y900,,Fatty change of liver
Diseases of the liver,J61y911,,Fatty liver
Diseases of the liver,,,congestive cirrhosis
Diseases of the liver,,,zooparasitic portal cirrhosis
Diseases of the liver,C310400,,Glycogenosis with hepatic cirrhosis
Diseases of the liver,C350012,,Pigmentary cirrhosis of liver
Diseases of the liver,C370800,,Cystic fibrosis related cirrhosis
Diseases of the liver,G852200,,Oesophageal varices in cirrhosis of the liver
Diseases of the liver,J61..00,,Cirrhosis and chronic liver disease
Diseases of the liver,J612.11,,Florid cirrhosis
Diseases of the liver,J615.00,,Cirrhosis - non alcoholic
Diseases of the liver,J615.11,,Portal cirrhosis
Diseases of the liver,J615100,,Multilobular portal cirrhosis
Diseases of the liver,J615300,,Diffuse nodular cirrhosis
Diseases of the liver,J615400,,Fatty portal cirrhosis
Diseases of the liver,J615500,,Hypertrophic portal cirrhosis
Diseases of the liver,J615600,,Capsular portal cirrhosis
Diseases of the liver,J615700,,Cardiac portal cirrhosis
Diseases of the liver,J615711,,Congestive cirrhosis
Diseases of the liver,J615800,,Juvenile portal cirrhosis
Diseases of the liver,J615812,,Indian childhood cirrhosis
Diseases of the liver,J615C00,,Xanthomatous portal cirrhosis
Diseases of the liver,J615D00,,Bacterial portal cirrhosis
Diseases of the liver,J615G00,,Zooparasitic portal cirrhosis
Diseases of the liver,J615H00,,Infectious cirrhosis NOS
Diseases of the liver,J615y00,,Portal cirrhosis unspecified
Diseases of the liver,J615z00,,Non-alcoholic cirrhosis NOS
Diseases of the liver,J615z11,,Macronodular cirrhosis of liver
Diseases of the liver,J615z12,,Cryptogenic cirrhosis of liver
Diseases of the liver,J615z13,,Cirrhosis of liver NOS
Diseases of the liver,J615z15,,Hepatic fibrosis
Diseases of the liver,J616.00,,Biliary cirrhosis
Diseases of the liver,J616100,,Secondary biliary cirrhosis
Diseases of the liver,J616200,,Biliary cirrhosis of children
Diseases of the liver,J616z00,,Biliary cirrhosis NOS
Diseases of the liver,J61y300,,Portal fibrosis without cirrhosis
Diseases of the liver,J61y400,,Hepatic fibrosis
Diseases of the liver,J61y500,,Hepatic sclerosis
Diseases of the liver,J61y600,,Hepatic fibrosis with hepatic sclerosis
Diseases of the liver,J635600,,Toxic liver disease with fibrosis and cirrhosis of liver
Diseases of the liver,Jyu7100,,[X]Other and unspecified cirrhosis of liver
Diseases of the liver,J614111,,Autoimmune chronic active hepatitis
Diseases of the liver,J616000,,Primary biliary cirrhosis
Diseases of the liver,J63B.00,,Autoimmune hepatitis
Diseases of the liver,J661700,,Primary sclerosing cholangitis
