Condition,ReadCode,CleansedReadCode,Term
Endometriosis,7E0D800,7E0D800,Laparoscopic laser destruction of endometriosis
Endometriosis,BBL1.11,BBL1.11,[M]Stromal endometriosis
Endometriosis,K50..00,K50..00,Endometriosis
Endometriosis,K50..11,K50..11,Adenomyosis
Endometriosis,K500.00,K500.00,Endometriosis of uterus
Endometriosis,K500000,K500000,Internal endometriosis
Endometriosis,K500100,K500100,Endometriosis of myometrium
Endometriosis,K500111,K500111,Adenomyosis of endometrium
Endometriosis,K500200,K500200,Endometriosis of cervix
Endometriosis,K500z00,K500z00,Endometriosis of uterus NOS
Endometriosis,K501.00,K501.00,Endometriosis of ovary
Endometriosis,K501.11,K501.11,Chocolate cyst of ovary
Endometriosis,K502.00,K502.00,Endometriosis of the fallopian tube
Endometriosis,K503.00,K503.00,Endometriosis of the pelvic peritoneum
Endometriosis,K503000,K503000,Endometriosis of the broad ligament
Endometriosis,K503100,K503100,Endometriosis of the pouch of Douglas
Endometriosis,K503200,K503200,Endometriosis of the parametrium
Endometriosis,K503300,K503300,Endometriosis of the round ligament
Endometriosis,K503z00,K503z00,Endometriosis of the pelvic peritoneum NOS
Endometriosis,K504.00,K504.00,Endometriosis of the rectovaginal septum and vagina
Endometriosis,K504000,K504000,Endometriosis of the rectovaginal septum
Endometriosis,K504100,K504100,Endometriosis of the vagina
Endometriosis,K504z00,K504z00,Endometriosis of the rectovaginal septum and vagina NOS
Endometriosis,K505.00,K505.00,Endometriosis of the intestine
Endometriosis,K505000,K505000,Endometriosis of the appendix
Endometriosis,K505100,K505100,Endometriosis of the colon
Endometriosis,K505200,K505200,Endometriosis of the rectum
Endometriosis,K505z00,K505z00,Endometriosis of the intestine NOS
Endometriosis,K506.00,K506.00,Endometriosis in scar of skin
Endometriosis,K50y.00,K50y.00,Other endometriosis
Endometriosis,K50y000,K50y000,Endometriosis of the bladder
Endometriosis,K50y100,K50y100,Endometriosis of the lung
Endometriosis,K50y200,K50y200,Endometriosis of the umbilicus
Endometriosis,K50y300,K50y300,Endometriosis of the vulva
Endometriosis,K50yz00,K50yz00,Other endometriosis NOS
Endometriosis,K50z.00,K50z.00,Endometriosis NOS
Endometriosis,Kyu9000,Kyu9000,[X]Other endometriosis
