Condition,ReadCode,CleansedReadCode,Term
Migraine,8B6N.00,8B6N.00,Migraine prophylaxis
Migraine,F26..00,F26..00,Migraine
Migraine,F260.00,F260.00,Classical migraine
Migraine,F260.11,F260.11,Migraine with aura
Migraine,F261.00,F261.00,Common migraine
Migraine,F261.11,F261.11,Migraine without aura
Migraine,F261000,F261000,Atypical migraine
Migraine,F261z00,F261z00,Common migraine NOS
Migraine,F262.00,F262.00,Migraine variants
Migraine,F262200,F262200,Abdominal migraine
Migraine,F262300,F262300,Basilar migraine
Migraine,F262400,F262400,Ophthalmic migraine
Migraine,F262800,F262800,Migraine induced by oestrogen contraceptive
Migraine,F262z00,F262z00,Migraine variant NOS
Migraine,F26y.00,F26y.00,Other forms of migraine
Migraine,F26y000,F26y000,Hemiplegic migraine
Migraine,F26y100,F26y100,Ophthalmoplegic migraine
Migraine,F26y111,F26y111,Moebius' ophthalmoplegic migraine
Migraine,F26y200,F26y200,Status migrainosus
Migraine,F26y300,F26y300,Complicated migraine
Migraine,F26yz00,F26yz00,Other forms of migraine NOS
Migraine,F26z.00,F26z.00,Migraine NOS
Migraine,Fyu5300,Fyu5300,[X]Other migraine
Migraine,K584.11,K584.11,Migraine - menstrual
