Condition,SNOMED_Code,SnomedCTDescriptionId,Term
HIV disease,825891000006108,825891000006112,"HIV Infection With Symptoms, Not AIDS - Subsequent Presentation"
HIV disease,854381000006102,854381000006118,HIV infection
HIV disease,925451000006109,925451000006113,aids carrier
HIV disease,88415009,825821000006110,hiv disease resulting in mycobacterial infection
HIV disease,363346000,829211000006116,human immunodeficiency virus with secondary cancers
HIV disease,925771000006106,925771000006110,notification of aids
HIV disease,165816005,257855012,HIV positive
HIV disease,998701000000106,2581941000000113,HIV viral load
HIV disease,998171000000102,2571361000000118,Human immunodeficiency virus viral load by log rank
HIV disease,699433000,2984517011,AIDS carrier
HIV disease,170530008,264418012,Notification of AIDS
HIV disease,504871000000109,1121571000000111,Human immunodeficiency virus monitoring
HIV disease,504931000000103,1154521000000111,HIV pos gen health check serv declind - enhanc service admin
HIV disease,62479008,103844015,Acquired immune deficiency syndrome
HIV disease,86406008,143288017,Human immunodeficiency virus infection
HIV disease,91947003,152322017,Asymptomatic human immunodeficiency virus infection
HIV disease,95892003,512343012,HIV infection with persistent generalised lymphadenopathy
HIV disease,186706006,287010012,Human immunodeficiency virus with constitutional disease
HIV disease,186707002,287012016,Human immunodeficiency virus with neurological disease
HIV disease,186708007,287013014,Human immunodeficiency virus with secondary infection
HIV disease,713572001,3290189011,Human immunodeficiency virus with secondary cancers
HIV disease,943041000000105,2412691000000112,"HIV disease result/haematological+immunologic abnorms,NEC"
HIV disease,86406008,143288017,HIV disease resulting in unspecified malignant neoplasm
HIV disease,186708007,287013014,HIV disease resulting/unspcf infectious+parasitic disease
HIV disease,86406008,143288017,Human immunodeficiency virus with other clinical findings
HIV disease,86406008,143288017,Acquired human immunodeficiency virus infection syndrome NOS
HIV disease,81000119104,2967570018,Human immunodef virus resulting in other disease
HIV disease,420818005,2617389018,HIV disease resulting in mycobacterial infection
HIV disease,81000119104,2967570018,HIV disease resulting in cytomegaloviral disease
HIV disease,81000119104,2967570018,HIV disease resulting in candidiasis
HIV disease,420403001,2617400016,HIV disease resulting in Pneumocystis carinii pneumonia
HIV disease,420403001,2617400016,HIV disease resulting in Pneumocystis jirovecii pneumonia
HIV disease,186708007,287013014,HIV disease resulting in multiple infections
HIV disease,420524008,2617386013,HIV disease resulting in Kaposi's sarcoma
HIV disease,420524008,2614767011,HIV disease resulting in Kaposi sarcoma
HIV disease,713897006,3297968018,HIV disease resulting in Burkitt's lymphoma
HIV disease,442537007,2816358010,HIV dis resulting oth types of non-Hodgkin's lymphoma
HIV disease,713572001,3290189011,HIV disease resulting in multiple malignant neoplasms
HIV disease,421671002,2614782018,HIV disease resulting in lymphoid interstitial pneumonitis
HIV disease,422003001,2622348012,HIV disease resulting in wasting syndrome
HIV disease,86406008,143288017,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu"
HIV disease,86406008,143288017,[X]Human immunodeficiency virus disease
HIV disease,186708007,287013014,[X]HIV disease resulting in other viral infections
HIV disease,186708007,287013014,[X]HIV disease resulting in multiple infections
HIV disease,186708007,287013014,[X]HIV disease resulting/other infectious+parasitic diseases
HIV disease,442537007,2816358010,[X]HIV disease resulting in other non-Hodgkin's lymphoma
HIV disease,943041000000105,2412691000000112,"[X]HIV disease result/haematological+immunologic abnorms,NEC"
HIV disease,86406008,143288017,[X]HIV disease resulting in other specified conditions
HIV disease,86406008,143288017,[X]Unspecified human immunodeficiency virus [HIV] disease
HIV disease,421529006,2622767013,[X]Dementia in human immunodef virus [HIV] disease
HIV disease,165816005,257855012,[D]Laboratory evidence of human immunodeficiency virus [HIV]
HIV disease,427921000000108,938141000000118,[V]Asymptomatic human immunodeficency virus infection status
